date,equity
2010-11-30,865529.3313140784
2010-12-31,935109.0685779173
2011-01-31,997385.0528132113
2011-02-28,1113368.6014714665
2011-03-31,1295439.7933659207
2011-04-30,1312480.4819671882
2011-05-31,1541605.311741706
2011-06-30,1383159.2553389068
2011-07-31,1402684.8342179891
2011-08-31,1286709.8143573261
2011-09-30,1300533.7728104293
2011-10-31,1330994.9821505474
2011-11-30,1341379.1135758478
2011-12-31,1352028.088066588
2012-01-31,1392853.7051581733
2012-02-29,1514132.738320094
2012-03-31,1661367.7060323195
2012-04-30,1508556.383307958
2012-05-31,1223626.8263816827
2012-06-30,1398682.968367347
2012-07-31,1513869.5984268116
2012-08-31,1597054.6577949375
2012-09-30,1667365.7265362497
2012-10-31,1550041.3649841433
2012-11-30,1513107.4196025403
2012-12-31,1671619.0529472886
2013-01-31,1811191.4047167066
2013-02-28,1856896.0854996569
2013-03-31,1937116.0253761893
2013-04-30,1960021.6412543282
2013-05-31,2192802.577254043
2013-06-30,2150107.9909525597
2013-07-31,2173583.6194388582
2013-08-31,2057053.3764738652
2013-09-30,2258820.94251685
2013-10-31,2238451.1923704064
2013-11-30,2407239.566041405
2013-12-31,2733316.5595547026
2014-01-31,2643557.4950211793
2014-02-28,2955357.47345525
2014-03-31,3127823.0882392316
2014-04-30,3276978.738259343
2014-05-31,3490604.9851924367
2014-06-30,4053614.513406904
2014-07-31,4062908.072540026
2014-08-31,4028754.306550872
2014-09-30,3443432.680943589
2014-10-31,2905511.984515454
2014-11-30,3095085.4714123555
2014-12-31,3166650.544346533
2015-01-31,3207349.184027328
2015-02-28,3469958.982749912
2015-03-31,3968131.9343626904
2015-04-30,4019060.4470803034
2015-05-31,4212769.124584091
2015-06-30,4420408.767799333
2015-07-31,4293677.209566634
2015-08-31,3938139.9647745118
2015-09-30,4293342.446302007
2015-10-31,4330549.785909359
2015-11-30,4438867.098617365
2015-12-31,4061751.7843359793
2016-01-31,4064812.7161531956
2016-02-29,4116176.815503855
2016-03-31,4365023.81604452
2016-04-30,4512051.478825894
2016-05-31,4732460.938825512
2016-06-30,4528503.452391232
2016-07-31,4641047.905102035
2016-08-31,4760757.144288509
2016-09-30,4624628.263758128
2016-10-31,4223159.480957399
2016-11-30,4372868.195956673
2016-12-31,4603013.9761701645
2017-01-31,4695034.411934368
2017-02-28,5131799.622242471
2017-03-31,5044826.2517026905
2017-04-30,5189153.704534266
2017-05-31,4875958.145949595
2017-06-30,5194226.759601448
2017-07-31,5235847.787757929
2017-08-31,5008358.934654722
2017-09-30,5397656.4824630665
2017-10-31,5600172.387760907
2017-11-30,6153819.46612428
2017-12-31,6646103.3987893285
2018-01-31,6959822.185517752
2018-02-28,6172744.77902672
2018-03-31,5733989.623691104
2018-04-30,5903977.200811383
2018-05-31,6678597.002180147
2018-06-30,6626455.918122861
2018-07-31,6806532.390254786
2018-08-31,7288866.515112474
2018-09-30,7389105.5928265685
2018-10-31,5273698.597648525
2018-11-30,5321323.7260509925
2018-12-31,6032275.630634879
2019-01-31,6079096.322116395
2019-02-28,6232564.957685501
2019-03-31,6477387.911049667
2019-04-30,6834766.377165047
2019-05-31,6611032.066576463
2019-06-30,8071635.4260237515
2019-07-31,8870075.919892991
2019-08-31,9052849.057020267
2019-09-30,10639005.028580338
2019-10-31,9841303.654354077
2019-11-30,10432155.586715093
2019-12-31,10672344.38198886
2020-01-31,10550038.216640629
2020-02-29,8222423.186753596
2020-03-31,7604927.820530806
2020-04-30,8716387.56224453
2020-05-31,8900680.317130119
2020-06-30,9464757.262791036
2020-07-31,9988764.721480522
2020-08-31,12032023.318838935
2020-09-30,11663244.145136407
2020-10-31,10870901.108106913
2020-11-30,13267635.25742829
2020-12-31,16734584.431005226
2021-01-31,17750425.021955967
2021-02-28,19420951.539988868
2021-03-31,21708111.99852723
2021-04-30,22738972.99251816
2021-05-31,23630556.240168698
2021-06-30,22101548.932045918
2021-07-31,20660431.435425244
2021-08-31,24232143.14087719
2021-09-30,22725445.79782634
2021-10-31,21369949.477893576
2021-11-30,19157055.47415057
2021-12-31,19874931.191444006
2022-01-31,16266926.648875162
2022-02-28,16669047.903048858
2022-03-31,17173712.693720322
2022-04-30,16161003.13758555
2022-05-31,16361526.185534148
2022-06-30,16548820.759039864
2022-07-31,17507887.865700956
2022-08-31,17577119.600161232
2022-09-30,17669244.009771954
2022-10-31,18304426.119995926
2022-11-30,18477759.723936845
2022-12-31,17600652.524934996
2023-01-31,17765456.444052644
2023-02-28,19921465.43800922
2023-03-31,15256804.658335118
2023-04-30,15639208.528513849
2023-05-31,15079453.986634625
2023-06-30,17903197.20062179
2023-07-31,19227175.19237783
2023-08-31,17081334.886177737
2023-09-30,14811496.8588061
2023-10-31,15794463.341947615
2023-11-30,16794462.055405557
2023-12-31,18040758.769967005
2024-01-31,18636868.773592405
2024-02-29,21330697.803808924
2024-03-31,24633428.793162152
2024-04-30,24380977.939557135
2024-05-31,25281479.231179032
2024-06-30,24655950.887134697
2024-07-31,23814601.364376985
2024-08-31,24275753.76604793
2024-09-30,27507497.169794288
2024-10-31,27057260.860946923
2024-11-30,36752733.078171045
2024-12-31,23589167.389555715
2025-01-31,25141048.380221594
2025-02-28,25929614.11711336
2025-03-31,18259137.096880533
2025-04-30,18247093.740617376
2025-05-31,21998016.568426315
2025-06-30,23046700.993170965
2025-07-31,23064634.129275948
2025-08-31,24099664.48872746
2025-09-30,24854367.575292423
2025-10-31,24170873.742970213
2025-11-30,23308588.396061912
2025-12-31,24551699.297449104
2026-01-31,27679225.506400853
2026-02-28,29215652.800511625
2026-03-31,22622874.68501703
2026-04-30,23116132.44170324
