date,Baseline_V47+I3,Idea_A_VIX_calls,Idea_B_CDaR,Idea_B2_CDaR_comb,Idea_C_VVIX,Idea_D_Dyn_strike,Idea_E_Gap_regime,Idea_G_D+A_combo
2009-06-30,398911.8704730107,445019.24411656917,384580.5831499611,384475.4026579424,398110.87584856857,432602.0500450984,401377.21096209536,482122.13692140667
2009-07-31,430282.5768333587,486351.43783648266,414824.2659500119,414710.814494475,429418.59035456437,466622.1731591887,432095.436698431,526900.3521336506
2009-08-31,432140.5014057415,493025.7360439982,416615.44275005325,416501.50144815515,431272.7842454409,468637.0089733113,430436.906913636,534131.1066834069
2009-09-30,486750.41755576193,559473.3202740152,469263.44381215854,469135.1044721986,485773.04459604196,527859.0121164136,484831.53698548675,606118.6673876257
2009-10-31,437165.90803940105,506201.8674415629,421460.30669490126,421345.0404322435,436288.0999465248,474086.836924637,434713.32368812565,548405.7794363494
2009-11-30,430211.5740177889,503326.5639170101,414755.8139806066,414642.3812451355,429347.7301114623,466545.1737923465,427813.53754894465,545290.7549777172
2009-12-31,517097.74521896255,606259.0176827211,498520.51380389964,498384.1733167197,516059.43533222005,560769.3269632191,514215.3951699986,656805.0658219496
2010-01-31,500927.44350323343,587125.3625759314,482931.1461226615,482799.0689751091,499921.60331222543,543233.3604841084,498135.22858863336,636076.1641605803
2010-02-28,472243.69691070233,557282.2953519024,455277.86552196246,455153.3507244137,471295.4517567093,512127.1855066704,469611.36450447055,603745.0350078548
2010-03-31,511479.9562519675,603234.6421863652,493104.5214049574,492969.661855809,510452.9252243999,554677.1528750252,508628.9160586768,653528.604117754
2010-04-30,558391.0853915712,656603.6020240454,538330.3193999326,538183.0915978889,557269.8574565587,605550.1730766103,555278.5567328965,711347.1353944762
2010-05-31,521285.8045597731,626833.9458686039,502558.08440529427,502420.6395162929,518677.87472833344,565311.1565369734,522003.77259066736,679095.4779159931
2010-06-30,501333.66392269824,615551.0735651711,483322.7451889994,483190.56073874113,498825.55276256,543673.9529072304,502024.1523163272,666871.9112969862
2010-07-31,501333.66392269824,624873.3327228485,483322.7451889994,483190.56073874113,498825.55276256,543673.9529072304,502024.1523163272,676971.3960176688
2010-08-31,512569.3779938129,638977.6035182464,494154.8068661297,494019.6519971097,510124.8354238201,538671.2115094808,512865.00843323494,672121.9599072976
2010-09-30,528825.5871998215,663002.6124037629,509826.99483515316,509687.55397024535,526303.5150955685,555755.2431606839,529130.5932252245,697393.1663631127
2010-10-31,537137.7510192172,674296.2249933699,517840.53551711846,517698.90312652953,534576.036327849,564490.6911351142,537447.5509916954,709272.5908518196
2010-11-30,606615.6957841514,761340.0416646226,584822.4127960484,584662.4623473086,603722.6250779396,637506.693352037,581519.2660852723,800831.4427549245
2010-12-31,654097.2583772663,821698.5850546522,630598.1508289479,630425.6817309068,650977.7373721481,687406.1814743684,627034.9804461958,864320.8363405777
2011-01-31,704976.7032270139,882956.2184912675,679649.6609391766,679463.7770536576,701614.5216471801,740876.6372495696,675809.3214241593,928756.0118485974
2011-02-28,787286.6396029044,986068.7163620427,759002.5229866799,758794.937821123,783531.9027854624,827378.0864440424,754713.8032817561,1037217.0522810967
2011-03-31,915242.1496180355,1156690.5586409438,882361.091302903,882119.770252467,910877.1631617654,961849.5436141962,845955.2458719814,1216689.2105281723
