date,equity
2010-11-30,1298457.631019028
2010-12-31,1422963.7388711758
2011-01-31,1525985.949396233
2011-02-28,1728678.9966489386
2011-03-31,2037961.6931139983
2011-04-30,2069881.3081362816
2011-05-31,2452952.5723586218
2011-06-30,2174596.7400055793
2011-07-31,2212214.852312086
2011-08-31,2048723.6088713116
2011-09-30,2163592.6826625136
2011-10-31,2262943.683756444
2011-11-30,2295964.967161122
2011-12-31,2336017.3921872135
2012-01-31,2420257.967653803
2012-02-29,2654611.4071920454
2012-03-31,2940242.7423813064
2012-04-30,2648390.314184939
2012-05-31,2113740.934798776
2012-06-30,2454057.0946529284
2012-07-31,2672894.3151799566
2012-08-31,2844072.5751471734
2012-09-30,2982304.055679944
2012-10-31,2747874.5873805876
2012-11-30,2682979.580169074
2012-12-31,2995440.0609909627
2013-01-31,3274642.503245405
2013-02-28,3366444.872329317
2013-03-31,3533034.496135617
2013-04-30,3579276.540251277
2013-05-31,4040587.1738688415
2013-06-30,3943847.9203588245
2013-07-31,4013602.4683846775
2013-08-31,3775772.49957029
2013-09-30,4188080.1377001023
2013-10-31,4164519.650235798
2013-11-30,4511148.683695971
2013-12-31,5168634.12618391
2014-01-31,4974570.023613062
2014-02-28,5621328.838405351
2014-03-31,5955749.157653355
2014-04-30,6254560.393498696
2014-05-31,6703050.125311127
2014-06-30,7858394.586975584
2014-07-31,7859077.151445031
2014-08-31,7815979.428344972
2014-09-30,6617329.07540203
2014-10-31,5546184.808287678
2014-11-30,5940952.346352009
2014-12-31,6089777.527854498
2015-01-31,6200438.68057481
2015-02-28,6782569.917226292
2015-03-31,7824003.301477443
2015-04-30,7926485.43564321
2015-05-31,8346223.575410106
2015-06-30,8738628.720762271
2015-07-31,8498950.281056106
2015-08-31,7701150.36607242
2015-09-30,8500401.670609854
2015-10-31,8593631.266793614
2015-11-30,8839392.43272291
2015-12-31,8066881.001319321
2016-01-31,8144330.840658478
2016-02-29,8300175.1186633045
2016-03-31,8819449.961814158
2016-04-30,9212175.029821066
2016-05-31,9713692.028046718
2016-06-30,9371361.03653591
2016-07-31,9627709.81246037
2016-08-31,9930066.828374969
2016-09-30,9639819.771456214
2016-10-31,8735131.505296808
2016-11-30,9089814.494207518
2016-12-31,9671045.570002338
2017-01-31,9881777.791878102
2017-02-28,10888022.85870371
2017-03-31,10698418.799159076
2017-04-30,11049123.276406141
2017-05-31,10365395.795387765
2017-06-30,11085139.925217457
2017-07-31,11201688.93544123
2017-08-31,10693452.76106999
2017-09-30,11607465.160402022
2017-10-31,12130540.341190733
2017-11-30,13454282.955177294
2017-12-31,14623112.088323114
2018-01-31,15463959.51289361
2018-02-28,13554020.679360207
2018-03-31,12560526.887904918
2018-04-30,12951098.158050647
2018-05-31,14876215.571450347
2018-06-30,14725805.939572057
2018-07-31,15208640.325487241
2018-08-31,16419155.523858562
2018-09-30,16692852.431760972
2018-10-31,11548137.056461476
2018-11-30,11677411.895982869
2018-12-31,13506420.547124648
2019-01-31,13627476.855267378
2019-02-28,14017561.574203428
2019-03-31,14648274.417185962
2019-04-30,15581571.68910361
2019-05-31,15001633.58449601
2019-06-30,18577762.54040738
2019-07-31,20562416.515367664
2019-08-31,21183775.906386923
2019-09-30,25224721.019807752
2019-10-31,23294811.62493992
2019-11-30,24879470.6218852
2019-12-31,25623333.902001463
2020-01-31,25311467.412746396
2020-02-29,19402934.909477286
2020-03-31,18173650.576927587
2020-04-30,21462793.768773578
2020-05-31,22426709.3713846
2020-06-30,24170513.760705434
2020-07-31,25938532.58364036
2020-08-31,31917890.43109252
2020-09-30,30698689.5501062
2020-10-31,28304995.39327245
2020-11-30,35709493.35659982
2020-12-31,46110070.78788273
2021-01-31,49120836.80299399
2021-02-28,54384708.27785953
2021-03-31,61324240.221062325
2021-04-30,64739493.27274164
2021-05-31,67609931.63418886
2021-06-30,63392965.25805694
2021-07-31,59236137.79141386
2021-08-31,70448070.77939096
2021-09-30,65760439.72387559
2021-10-31,62028896.88840981
2021-11-30,54866827.19610763
2021-12-31,57944450.02131507
2022-01-31,46755855.11955748
2022-02-28,48114216.09551002
2022-03-31,49518014.12733597
2022-04-30,47189771.72456729
2022-05-31,47842057.939413816
2022-06-30,48304483.36291164
2022-07-31,51646373.242398426
2022-08-31,51961686.38011968
2022-09-30,51916732.22247258
2022-10-31,53638429.28159984
2022-11-30,54748495.985612065
2022-12-31,51442999.26214111
2023-01-31,52630184.9741171
2023-02-28,59551618.2486916
2023-03-31,44912577.31305621
2023-04-30,46251914.74873844
2023-05-31,44556169.53453893
2023-06-30,54267595.908351675
2023-07-31,58993985.3203758
2023-08-31,51607939.28919183
2023-09-30,43745771.36112301
2023-10-31,47047435.4061425
2023-11-30,50826228.53788115
2023-12-31,55257160.81363276
2024-01-31,57206754.093576506
2024-02-29,66681273.8767937
2024-03-31,78402427.33504246
2024-04-30,77312379.79646668
2024-05-31,80705085.59192811
2024-06-30,78898295.22730365
2024-07-31,76009605.37499215
2024-08-31,77705205.91638997
2024-09-30,89333510.11910479
2024-10-31,87762220.1862868
2024-11-30,123325768.0405556
2024-12-31,74950100.40889615
2025-01-31,80764850.00134963
2025-02-28,83455149.1539937
2025-03-31,56109726.42608604
2025-04-30,55834250.96018
2025-05-31,70922810.85987708
2025-06-30,75328236.74079917
2025-07-31,75531441.8648415
2025-08-31,79662346.40366064
2025-09-30,82874290.60071164
2025-10-31,80721365.93924752
2025-11-30,77314976.32236908
2025-12-31,82229032.35737824
2026-01-31,95387194.56075127
2026-02-28,102185143.04282667
2026-03-31,75289398.41663778
2026-04-30,77488410.52669777
