date,equity,peak,dd_pct
2024-12-24,60682940.59888692,95022487.32464807,-36.13833703220032
2024-12-24,60703113.440186925,95022487.32464807,-36.117107487628324
2024-12-24,60712186.29388692,95022487.32464807,-36.10755937543358
2024-12-24,60516401.22999211,95022487.32464807,-36.31360014473686
2024-12-24,60415222.895375356,95022487.32464807,-36.420078450520485
2024-12-26,60486143.719701014,95022487.32464807,-36.34544261817971
2024-12-26,60289474.49859916,95022487.32464807,-36.55241385902919
2024-12-26,60056837.06891726,95022487.32464807,-36.797237412097296
2024-12-26,59942791.291121215,95022487.32464807,-36.917257189527874
2024-12-26,59985918.964961916,95022487.32464807,-36.87187038156804
2024-12-26,59946442.153466314,95022487.32464807,-36.91341508599229
2024-12-26,60047068.242238924,95022487.32464807,-36.80751795405465
2024-12-26,60289036.21239104,95022487.32464807,-36.55287510375184
2024-12-26,59903358.41283934,95022487.32464807,-36.95875565940811
2024-12-26,59630827.0122248,95022487.32464807,-37.24556292817959
2024-12-26,59678798.97595334,95022487.32464807,-37.19507807445792
2024-12-26,59719771.1643237,95022487.32464807,-37.1519596616233
2024-12-26,59869460.10674891,95022487.32464807,-36.99442964253025
2024-12-26,59472818.23530639,95022487.32464807,-37.411848595253915
2024-12-26,59240218.94604324,95022487.32464807,-37.65663201001391
2024-12-26,58602677.41484794,95022487.32464807,-38.327569541902655
2024-12-26,58603883.63794794,95022487.32464807,-38.32630013385624
2024-12-26,58159399.447980076,95022487.32464807,-38.794067503962296
2024-12-26,57813345.22571139,95022487.32464807,-39.158248901452325
2024-12-26,57806616.91031139,95022487.32464807,-39.165329662637845
2024-12-26,57804240.231311396,95022487.32464807,-39.16783083795635
2024-12-26,57841412.155511394,95022487.32464807,-39.128711756519344
2024-12-26,57958303.07864628,95022487.32464807,-39.00569779800706
2024-12-26,57544602.95183904,95022487.32464807,-39.44106855966037
2024-12-26,57573154.134439036,95022487.32464807,-39.4110217955692
2024-12-26,57616579.940894276,95022487.32464807,-39.36532123807182
2024-12-26,57582838.87883527,95022487.32464807,-39.40082974033164
2024-12-26,57469218.63860274,95022487.32464807,-39.520401689489674
2024-12-26,57113166.94791579,95022487.32464807,-39.89510424749627
2024-12-26,56735001.90597437,95022487.32464807,-40.293078508735505
2024-12-26,56417391.28043674,95022487.32464807,-40.62732636361696
2024-12-26,56206035.355236396,95022487.32464807,-40.8497536344147
2024-12-27,56368481.48741827,95022487.32464807,-40.678798172444026
2024-12-27,56553454.76959812,95022487.32464807,-40.48413553269658
2024-12-27,56504372.61379812,95022487.32464807,-40.53578873309356
2024-12-27,56476534.63169812,95022487.32464807,-40.565084937480314
2024-12-27,56454127.456398115,95022487.32464807,-40.588665855988
2024-12-27,56427095.99149811,95022487.32464807,-40.617113295811
2024-12-27,56412134.42219811,95022487.32464807,-40.6328585890792
2024-12-30,56394395.49349811,95022487.32464807,-40.651526726695295
2024-12-30,56381799.92289811,95022487.32464807,-40.66478208440549
2024-12-30,56360283.98539811,95022487.32464807,-40.68742507987506
2024-12-30,56333118.2725981,95022487.32464807,-40.71601379983478
2024-12-30,56307129.014398105,95022487.32464807,-40.743364439595666
2024-12-31,56311414.80419811,95022487.32464807,-40.738854149536266
2024-12-31,56305849.68809811,95022487.32464807,-40.74471078016832
2024-12-31,56330419.56059811,95022487.32464807,-40.71885387703753
2024-12-31,56316365.01019812,95022487.32464807,-40.7336446395146
2024-12-31,56303658.869298115,95022487.32464807,-40.74701635947031
2025-01-02,56287301.66785163,95022487.32464807,-40.76423039154527
2025-01-02,56184025.60071316,95022487.32464807,-40.87291631426335
2025-01-02,56326493.49236794,95022487.32464807,-40.722985602422455
2025-01-02,56349685.704194486,95022487.32464807,-40.69857852523523
2025-01-02,56040040.39110568,95022487.32464807,-41.02444382492043
2025-01-02,56036959.689258724,95022487.32464807,-41.027685901542185
2025-01-02,56030347.64065872,95022487.32464807,-41.034644305585445
2025-01-02,56038552.30625872,95022487.32464807,-41.02600985932855
2025-01-02,56016322.63635872,95022487.32464807,-41.04940397426479
2025-01-02,56012124.54215872,95022487.32464807,-41.053821975011985
2025-01-02,56065677.20365872,95022487.32464807,-40.99746409278035
2025-01-02,56095069.35060995,95022487.32464807,-40.96653231254731
2025-01-03,56150175.91790995,95022487.32464807,-40.90853912709034
2025-01-03,56160558.15560995,95022487.32464807,-40.89761304212634
2025-01-03,56194599.71600995,95022487.32464807,-40.86178830067993
2025-01-03,56163720.34520995,95022487.32464807,-40.8942852092217
2025-01-03,56176977.61210995,95022487.32464807,-40.88033349392434
2025-01-06,56237648.24877158,95022487.32464807,-40.81648477940444
2025-01-06,56279307.20705605,95022487.32464807,-40.772643621950685
2025-01-06,56339214.4629402,95022487.32464807,-40.7095982759796
2025-01-06,56380431.74441233,95022487.32464807,-40.66622193146095
2025-01-06,56435074.9153712,95022487.32464807,-40.60871641619047
2025-01-06,56491244.20542401,95022487.32464807,-40.54960483993704
2025-01-06,56497883.40492401,95022487.32464807,-40.54261786276256
2025-01-06,56536632.07862401,95022487.32464807,-40.501839437790785
2025-01-06,56554882.35912401,95022487.32464807,-40.48263316250391
